Office,Country,Company,Latitude,Longitude
Cupertino,United States,Apple,37.33556016,-122.0146156
Austin,United States,Apple,30.43473564,-97.73434005
Cupertino,United States,Apple,37.33204108,-122.0295966
Sydney,Australia,Apple,-33.86709686,151.2087845
Toronto,Canada,Apple,43.64314019,-79.38307697
Las Condes,Chile,Apple,-33.40516438,-70.57428826
Shanghai,China,Apple,31.34915288,121.5902057
Paris,France,Apple,48.86413538,2.293747342
Hong Kong,Hong Kong,Apple,22.27840911,114.18201699999999
Bengaluru,India,Apple,12.97190314,77.59604777
Jakarta,Indonesia,Apple,-6.215285617,106.82145430000001
Cork,Ireland,Apple,51.90259413,-8.503932373
Tokyo,Japan,Apple,35.65889289,139.7319346
South Bay,Macao,Apple,22.19309619,113.54265990000002
Kuala Lumpur,Malaysia,Apple,3.136566179,101.6865361
Ciudad de México,Mexico,Apple,19.37620857,-99.25787587
Auckland,New Zealand,Apple,-36.84627985,174.76981640000002
Moskva,Russia,Apple,55.75424144,37.608497899999996
Singapore,Singapore,Apple,1.3895292590000001,103.8450053
Seoul,Korea (Republic of),Apple,37.51190625,127.0593287
Taipei City,Taiwan,Apple,25.0340014,121.56452979999999
Khwaeng Pathum Wan,Thailand,Apple,13.74623456,100.5384632
?stanbul,Turkey,Apple,41.06641051,29.01721147
Dubai,United Arab Emirates,Apple,25.20090767,55.27399914
Ho Chi Minh,Viet Nam,Apple,10.7819158,106.70077909999999
Seattle,United States,Amazon,47.62465946,-122.33650130000001
Arlington,United States,Amazon,38.85831998,-77.05175284
Atlanta,United States,Amazon,33.84827036,-84.37204337
Austin,United States,Amazon,30.406992300000002,-97.71901265
Baltimore,United States,Amazon,39.26828956,-76.54976232
Bellevue,United States,Amazon,47.61744672,-122.19998490000002
Boardman,United States,Amazon,40.01820468,-105.27557990000001
Boulder,United States,Amazon,40.56215307,-75.61741218
Breinigsville,United States,Amazon,40.66213713,-74.00410291
Brooklyn,United States,Amazon,40.66252777,-74.00547621
Caledonia,United States,Amazon,42.84094803,-85.55316226
Campbellsville,United States,Amazon,37.33885385,-85.34960774
Campbellsville,United States,Amazon,37.33923464,-85.34823475
Carlisle,United States,Amazon,40.19492224,77.22480858
